x,y,z,mydata.TRUTH
21.3819,43.9247,-139.9741,4
21.3827,43.929,-139.9975,4
21.382,43.9269,-139.9778,4
21.382,43.9269,-139.9778,4
21.3649,43.922,-139.9887,4
21.3597,43.9335,-140.0029,4
21.3112,43.9541,-140.0255,4
21.3141,43.9961,-140.0309,4
21.3233,44.0178,-140.0314,4
21.3214,44.0666,-140.0127,4
21.3421,44.1185,-140.0125,4
21.3941,44.1904,-139.9835,4
21.4196,44.272,-140.0113,4
21.4202,44.3472,-139.9769,4
21.4196,44.4312,-139.9621,4
21.436,44.5204,-139.9357,4
21.444,44.5869,-139.9516,4
21.4757,44.6747,-140.0225,4
21.5384,44.7522,-140.0338,4
21.6118,44.832,-140.041,4
21.7285,44.8974,-140.0837,4
21.7921,44.9685,-140.1624,4
21.8068,45.0291,-140.1896,4
21.8567,45.0572,-140.2338,4
21.8781,45.0929,-140.3116,4
21.8989,45.1232,-140.4287,4
21.8947,45.1474,-140.4764,4
21.8792,45.1528,-140.5548,4
21.8837,45.1322,-140.6182,4
21.8719,45.1099,-140.6724,4
21.8583,45.0783,-140.7142,4
21.8619,45.0373,-140.7345,4
21.7721,44.9673,-140.7282,4
21.7199,44.884,-140.7616,4
21.6638,44.7904,-140.8051,4
21.6021,44.6995,-140.8153,4
21.5692,44.6165,-140.839,4
21.5618,44.5322,-140.859,4
21.5007,44.4409,-140.9333,4
21.4971,44.3662,-140.9631,4
21.5081,44.3033,-140.9899,4
21.5339,44.2284,-141.0267,4
21.5516,44.1684,-141.1086,4
21.5699,44.1163,-141.1265,4
21.6035,44.079,-141.1657,4
21.5862,44.0357,-141.2185,4
21.5636,43.9757,-141.2017,4
21.5599,43.9036,-141.1775,4
21.5226,43.8505,-141.1429,4
21.4688,43.7911,-141.081,4
21.4712,43.7522,-141.0652,4
21.4856,43.7092,-141.0415,4
21.4663,43.6607,-141.0173,4
21.4566,43.6318,-140.9607,4
21.4641,43.6012,-140.9733,4
21.4291,43.6005,-141.0156,4
21.4479,43.5925,-141.0167,4
21.4591,43.5814,-141.0186,4
21.4662,43.5454,-141.0155,4
21.4596,43.5267,-141.0269,4
21.4439,43.5042,-141.0182,4
21.4321,43.4813,-141.0174,4
21.4014,43.4387,-141.0359,4
21.3829,43.418,-141.0194,4
21.3641,43.3982,-140.9953,4
21.37,43.3891,-140.9652,4
21.3698,43.3808,-140.9325,4
21.3685,43.3889,-140.9044,4
21.393,43.4154,-140.9131,4
21.4514,43.4569,-140.9288,4
21.4737,43.4819,-140.9839,4
21.4767,43.5076,-141.0185,4
21.504,43.527,-141.0428,4
21.4868,43.5184,-141.0491,4
21.453,43.5155,-141.0729,4
21.3855,43.4904,-141.0784,4
21.344,43.4647,-141.0876,4
21.3044,43.4373,-141.0951,4
21.3021,43.4233,-141.1033,4
21.3122,43.4153,-141.1136,4
21.3213,43.4177,-141.1033,4
21.3367,43.421,-141.0922,4
21.3508,43.4372,-141.0688,4
21.3189,43.4282,-141.0065,4
21.3117,43.4153,-140.9873,4
21.2819,43.394,-140.9793,4
21.2146,43.3699,-140.9635,4
21.2322,43.3571,-140.9454,4
21.2633,43.3826,-141.026,4
21.2863,43.4005,-141.0721,4
21.3064,43.4247,-141.1064,4
21.3278,43.4383,-141.1455,4
21.3267,43.4516,-141.1873,4
21.3466,43.4668,-141.22,4
21.3794,43.4816,-141.2898,4
21.403,43.5332,-141.3779,4
21.459,43.5541,-141.3862,4
21.4902,43.5622,-141.3701,4
21.5293,43.561,-141.3274,4
21.5405,43.5442,-141.3185,4
21.5103,43.5147,-141.2927,4
21.4731,43.4891,-141.282,4
21.4177,43.4576,-141.3139,4
21.3898,43.4323,-141.3457,4
21.3929,43.4233,-141.3413,4
21.3862,43.4178,-141.3296,4
21.4301,43.4326,-141.345,4
21.4267,43.4349,-141.3693,4
21.4356,43.4467,-141.397,5
21.444,43.456,-141.4179,5
21.4711,43.455,-141.4129,5
21.4861,43.4412,-141.4362,5
21.4634,43.4286,-141.4413,5
21.4507,43.4004,-141.4495,5
21.4222,43.3734,-141.4724,5
21.4025,43.3376,-141.5239,5
21.3816,43.3194,-141.5654,5
21.3586,43.2896,-141.6045,5
21.3319,43.2931,-141.675,5
21.3083,43.2633,-141.7137,4
21.2938,43.2487,-141.8027,4
21.2484,43.2534,-141.8816,4
21.201,43.2447,-141.9413,4
21.2004,43.249,-142.0038,4
21.1757,43.2475,-142.0291,4
21.1622,43.2352,-142.0642,4
21.1567,43.2166,-142.1003,4
21.1411,43.1935,-142.1292,4
21.0785,43.1798,-142.1256,4
21.0299,43.1503,-142.138,4
21.0032,43.121,-142.1355,4
21.0096,43.1164,-142.1523,4
21.0082,43.1157,-142.1841,4
20.9931,43.0999,-142.1625,4
20.959,43.1026,-142.1792,4
20.971,43.1087,-142.2225,4
20.9487,43.1173,-142.245,4
20.9729,43.1485,-142.2738,4
20.968,43.1314,-142.218,4
20.9642,43.0901,-142.1849,4
20.9307,43.0548,-142.1806,4
20.8736,43.0182,-142.1557,4
20.8231,42.9894,-142.1667,4
20.8088,42.9548,-142.1345,4
20.7985,42.9313,-142.0878,4
20.7899,42.9095,-142.0571,4
20.7811,42.8919,-142.0418,4
20.7865,42.8755,-142.0647,4
20.7812,42.8713,-142.0924,4
20.7889,42.8597,-142.0969,4
20.7653,42.8448,-142.0876,4
20.7694,42.854,-142.157,4
20.8077,42.8597,-142.2269,4
20.8115,42.8813,-142.2561,4
20.8156,42.8738,-142.2936,4
20.8267,42.863,-142.2965,4
20.8236,42.8685,-142.2806,4
20.7995,42.865,-142.2739,4
20.8067,42.8802,-142.3011,4
20.7967,42.888,-142.329,4
20.794,42.9122,-142.3758,4
20.7488,42.9082,-142.3644,4
20.7594,42.9106,-142.3619,4
20.7554,42.9107,-142.3637,4
20.7281,42.9226,-142.366,4
20.7518,42.9371,-142.3397,4
20.7407,42.9506,-142.3384,4
20.7633,42.953,-142.4207,4
20.773,42.9772,-142.4874,4
20.776,42.9903,-142.6021,4
20.7934,43.0082,-142.6642,4
20.7835,43.0116,-142.6803,4
20.7404,43.0122,-142.712,4
20.7258,43.0047,-142.7457,4
20.7614,43.0006,-142.7733,4
20.7234,42.9824,-142.8006,4
20.6642,42.9387,-142.8487,4
20.6191,42.9173,-142.8978,4
20.5893,42.9048,-142.961,4
20.5957,42.9156,-143.0358,4
20.6148,42.9426,-143.0739,4
20.671,42.9644,-143.0856,4
20.7116,42.9877,-143.0905,4
20.7562,42.9943,-143.0688,4
20.8037,43.0264,-143.0569,4
20.8597,43.055,-143.1312,4
20.9521,43.1325,-143.1299,4
20.9979,43.1761,-143.1142,4
21.031,43.2031,-143.1022,4
21.1131,43.2637,-143.1013,4
21.1976,43.2899,-143.0929,4
21.302,43.3162,-143.0893,4
21.3981,43.344,-143.0831,4
21.5117,43.3549,-143.0675,4
21.73,43.3731,-143.1058,4
22.0046,43.3585,-143.1459,4
22.2445,43.3334,-143.1866,4
22.4069,43.3029,-143.2542,4
22.5434,43.2586,-143.3363,4
22.6134,43.1839,-143.3667,4
22.6736,43.1211,-143.403,4
22.6822,43.0523,-143.4429,4
22.6951,42.9905,-143.5015,4
22.7012,42.9229,-143.5929,4
22.7226,42.8458,-143.624,3
22.7009,42.7726,-143.7035,3
22.601,42.673,-143.784,3
22.4728,42.5907,-143.8753,3
22.3259,42.5153,-143.93,3
22.229,42.4437,-143.9657,3
22.1019,42.3986,-143.9801,3
21.9895,42.3755,-144.008,3
21.8678,42.379,-144.0605,4
21.7742,42.3907,-144.1273,4
21.6538,42.4423,-144.2039,4
21.6367,42.5191,-144.2279,4
21.6502,42.6239,-144.3276,4
21.7088,42.7349,-144.3538,4
21.7051,42.8216,-144.4059,4
21.6773,42.9023,-144.3757,4
21.6395,42.976,-144.3762,4
21.6453,43.0378,-144.3301,4
21.6468,43.0999,-144.3251,4
21.6156,43.1372,-144.2981,4
21.5929,43.161,-144.2222,4
21.5303,43.1821,-144.1906,4
21.4702,43.2097,-144.1918,4
21.4607,43.2406,-144.2264,4
21.4241,43.2532,-144.2375,4
21.3887,43.2685,-144.2541,4
21.3458,43.2804,-144.2748,4
21.3344,43.3123,-144.267,4
21.3762,43.3939,-144.2838,4
21.4317,43.4789,-144.3226,4
21.4088,43.5474,-144.3436,4
21.4404,43.593,-144.3652,4
21.4001,43.5938,-144.3477,4
21.3865,43.5725,-144.3621,4
21.3438,43.5321,-144.3993,4
21.3034,43.4925,-144.4176,4
21.2327,43.4298,-144.4406,4
21.1496,43.3805,-144.474,4
21.074,43.3246,-144.5429,4
21.0588,43.2939,-144.582,4
21.0039,43.2619,-144.6073,4
20.9642,43.2429,-144.6358,4
20.9084,43.2248,-144.7007,4
20.8964,43.2217,-144.7396,4
20.905,43.2354,-144.8017,4
20.8915,43.2298,-144.837,4
20.8731,43.2311,-144.8914,4
20.8613,43.2382,-144.926,4
20.8531,43.2249,-144.9642,4
20.824,43.2243,-145.0114,4
20.8393,43.2161,-145.0377,4
20.8777,43.2108,-145.0585,4
20.8941,43.2001,-145.0879,4
20.8854,43.1632,-145.0753,4
20.8545,43.1575,-145.1062,4
20.8184,43.1596,-145.1043,4
20.7868,43.1379,-145.087,4
20.7543,43.102,-145.0676,4
20.7195,43.0887,-145.0522,4
20.7192,43.0814,-145.0506,4
20.732,43.0899,-145.0639,4
20.7797,43.1244,-145.0802,4
20.8307,43.1692,-145.0992,4
20.8447,43.2179,-145.1034,4
20.8764,43.2529,-145.106,4
20.8769,43.2832,-145.0751,4
20.8674,43.2874,-145.0668,4
20.8239,43.318,-145.07,4
20.8388,43.3639,-145.0981,4
20.8607,43.4162,-145.1204,4
20.9193,43.4778,-145.1696,4
20.9204,43.5281,-145.1872,4
20.939,43.5737,-145.2073,4
20.9494,43.5958,-145.2362,4
20.9836,43.6255,-145.2401,4
20.9831,43.657,-145.2384,4
20.9882,43.6678,-145.2144,4
20.9985,43.6827,-145.2157,4
21.0219,43.7088,-145.2514,4
21.0128,43.7258,-145.2534,4
21.0182,43.7389,-145.2547,4
21.0318,43.7741,-145.3053,4
21.0753,43.7855,-145.3395,4
21.1455,43.7921,-145.2768,4
21.213,43.7906,-145.2321,4
21.2287,43.7528,-145.2242,4
21.1792,43.7199,-145.277,4
21.1031,43.6937,-145.3485,4
21.0753,43.6536,-145.3815,4
21.0101,43.593,-145.4381,4
20.9275,43.539,-145.5052,4
20.8444,43.4873,-145.5881,4
20.7747,43.4302,-145.6009,5
20.7281,43.4006,-145.6748,5
20.6429,43.3628,-145.6865,5
20.6091,43.3235,-145.7675,5
20.5301,43.3182,-145.8257,5
20.3927,43.2832,-145.8785,5
20.3498,43.253,-145.9174,5
20.2558,43.236,-145.9294,5
20.1799,43.2276,-145.9593,5
20.0875,43.2402,-146.0233,5
20.0675,43.2505,-146.0309,5
20.0452,43.2766,-146.0657,5
20.0383,43.3116,-146.1128,5
19.9974,43.3406,-146.1076,5
20.0026,43.3628,-146.0467,5
20.022,43.3922,-146.0395,5
20.0587,43.4292,-146.0231,5
20.0728,43.4641,-146.0336,5
20.0855,43.4625,-146.0342,5
20.0977,43.468,-146.0205,5
20.0942,43.4684,-146.054,5
20.097,43.4909,-146.09,5
20.0881,43.5329,-146.1676,5
20.116,43.5682,-146.2262,5
20.1687,43.5676,-146.2473,5
20.1774,43.5834,-146.3156,5
20.158,43.5868,-146.3935,5
20.1106,43.5912,-146.4977,5
20.106,43.5849,-146.5714,5
20.0793,43.5748,-146.6242,5
20.0164,43.5466,-146.624,5
19.9485,43.5172,-146.6583,5
19.8888,43.4777,-146.6458,5
19.8442,43.4156,-146.6085,5
19.8258,43.3781,-146.6057,5
19.8035,43.335,-146.5878,5
19.7502,43.2989,-146.5817,5
19.6522,43.2515,-146.548,5
19.575,43.21,-146.5434,5
19.4934,43.1628,-146.5523,5
19.469,43.1174,-146.5796,5
19.4334,43.0784,-146.5826,5
19.4291,43.0687,-146.6122,5
19.4048,43.0447,-146.6152,5
19.3523,43.0359,-146.6563,5
19.3118,43.0053,-146.6711,5
19.2654,42.9794,-146.6699,5
19.2108,42.9681,-146.6697,5
19.1704,42.9595,-146.6821,5
19.1802,42.9832,-146.6907,5
19.1884,43.0031,-146.7182,5
19.1954,43.0135,-146.7108,5
19.1988,43.0355,-146.6539,5
19.2336,43.0653,-146.6162,5
19.2837,43.0839,-146.5682,5
19.2994,43.1164,-146.5534,5
19.3148,43.1518,-146.5513,5
19.3453,43.1847,-146.5289,5
19.334,43.172,-146.5259,5
19.2866,43.1496,-146.5387,5
19.2524,43.1348,-146.553,5
19.2267,43.1246,-146.5388,5
19.2224,43.1285,-146.5256,5
19.2714,43.1567,-146.5108,5
19.3061,43.1614,-146.5066,5
19.32,43.1748,-146.4984,5
19.3422,43.1968,-146.5004,5
19.3634,43.2175,-146.5135,5
19.392,43.2414,-146.5171,5
19.4375,43.2957,-146.5049,5
19.4538,43.3294,-146.5109,5
19.4546,43.3511,-146.5185,5
19.4558,43.3846,-146.5086,5
19.4711,43.4089,-146.4908,5
19.4595,43.409,-146.4768,5
19.4518,43.4212,-146.4961,5
19.4729,43.4411,-146.4949,5
19.4781,43.4593,-146.5016,5
19.4803,43.4779,-146.5236,5
19.4579,43.4936,-146.5364,5
19.441,43.4996,-146.5731,5
19.4086,43.5093,-146.5984,5
19.3735,43.5251,-146.6423,5
19.3569,43.5321,-146.6797,5
19.3384,43.5366,-146.7011,5
19.3196,43.5442,-146.7145,5
19.2997,43.5483,-146.733,5
19.2819,43.5482,-146.7382,5
19.2584,43.5435,-146.7651,5
19.231,43.5369,-146.7757,5
19.2533,43.573,-146.7909,5
19.2461,43.5972,-146.8326,5
19.2241,43.6181,-146.8522,5
19.2134,43.6303,-146.8719,5
19.1731,43.6395,-146.8796,5
19.1181,43.658,-146.8762,5
19.0652,43.6541,-146.8518,5
19.014,43.6696,-146.8504,5
18.9489,43.6706,-146.8585,5
18.9045,43.6612,-146.8538,5
18.8863,43.6563,-146.8545,5
18.8686,43.6609,-146.8707,5
18.8533,43.6489,-146.8699,5
18.8212,43.6427,-146.9065,5
18.8009,43.6584,-146.9417,5
18.8078,43.6698,-146.9535,5
18.7946,43.6969,-146.9693,5
18.7988,43.7174,-146.9719,5
18.8367,43.7426,-147,5
18.8463,43.7894,-147.0352,5
18.8961,43.8158,-147.09,5
18.8952,43.8304,-147.1549,5
18.9562,43.8597,-147.1774,5
18.9986,43.8871,-147.2422,5
19.0185,43.9055,-147.2845,5
19.0124,43.9337,-147.3087,5
19.052,43.9379,-147.3578,5
19.1083,43.9461,-147.4215,5
19.0876,43.9748,-147.5169,5
19.1089,43.9898,-147.5835,5
19.1647,44.0189,-147.6369,5
19.1953,44.0347,-147.7125,5
19.2138,44.0224,-147.7625,5
19.2219,44.0076,-147.8466,5
19.2338,44.0064,-147.929,5
19.2044,43.9502,-147.9963,5
19.1839,43.888,-148.027,5
19.1889,43.8442,-148.0836,5
19.2294,43.8169,-148.1029,5
19.2325,43.7979,-148.1064,5
19.2983,43.7535,-148.0206,5
19.3556,43.7284,-148,5
19.385,43.697,-147.9386,5
19.3723,43.6712,-147.9413,5
19.3639,43.6273,-147.9375,5
19.32,43.561,-147.9631,5
19.2928,43.4945,-147.9678,5
19.2556,43.4423,-148.0001,5
19.2344,43.4008,-148.0286,5
19.2422,43.4016,-148.0456,5
19.2609,43.3709,-148.0425,5
19.2511,43.3758,-148.0935,5
19.2433,43.3688,-148.1016,5
19.2391,43.3663,-148.1125,5
19.2255,43.3721,-148.152,5
19.1888,43.3727,-148.1759,5
19.1438,43.3821,-148.1718,5
19.1649,43.4171,-148.1805,5
19.1847,43.4549,-148.1582,5
19.1974,43.4806,-148.1141,5
19.1854,43.5048,-148.0958,5
19.1751,43.5008,-148.1008,5
19.1203,43.4753,-148.0432,5
19.0496,43.4537,-148.0297,5
19.0139,43.4451,-148.0204,5
19.0213,43.4747,-148.0649,5
19.0933,43.5004,-148.0974,5
19.1289,43.5427,-148.1323,5
19.1961,43.5693,-148.1763,5
19.2138,43.5571,-148.2142,5
19.2376,43.5524,-148.2612,5
19.2502,43.5441,-148.2929,5
19.2959,43.5562,-148.3098,5
19.3487,43.5776,-148.3163,5
19.3919,43.5843,-148.3301,5
19.4011,43.5476,-148.3458,5
19.4933,43.5512,-148.3532,5
19.585,43.5637,-148.3432,5
19.696,43.5327,-148.365,5
19.7559,43.5096,-148.407,5
19.8689,43.4886,-148.4698,5
19.9638,43.4571,-148.4905,5
19.9885,43.4027,-148.5084,5
19.9694,43.346,-148.533,5
19.9558,43.2894,-148.5493,5
20.0271,43.2788,-148.5693,5
20.0689,43.2802,-148.657,5
20.1213,43.2686,-148.665,5
20.216,43.255,-148.6375,5
20.2756,43.2674,-148.6228,5
20.3603,43.276,-148.5919,5
20.4484,43.2726,-148.5965,5
20.579,43.2815,-148.6345,5
20.6606,43.3114,-148.6157,5
20.7682,43.3287,-148.5876,5
20.9114,43.3544,-148.529,5
21.0132,43.3719,-148.4981,5
21.1133,43.3751,-148.489,5
21.2447,43.3832,-148.4926,5
21.362,43.3606,-148.4833,5
21.4439,43.356,-148.4682,5
21.5668,43.3461,-148.4845,5
21.5951,43.3204,-148.5529,5
21.6878,43.301,-148.5907,5
21.7931,43.2599,-148.5621,5
21.8942,43.2459,-148.5279,5
22.0547,43.1984,-148.4601,5
22.1894,43.1326,-148.3539,5
22.2729,43.0701,-148.3572,5
22.319,43.0292,-148.4749,5
22.2932,43.0056,-148.639,5
22.1951,42.9783,-148.8384,5
22.0979,42.9677,-149.0766,5
22.0411,42.9612,-149.2121,5
22.0236,42.9617,-149.3326,5
21.9993,42.9487,-149.4204,5
21.973,42.9077,-149.4033,5
21.9543,42.8585,-149.3777,5
21.9499,42.8095,-149.294,5
21.8944,42.7469,-149.259,5
21.8664,42.7007,-149.2406,5
21.9007,42.6797,-149.2162,5
21.8956,42.6322,-149.2182,5
21.9199,42.5738,-149.2026,5
21.9255,42.5412,-149.2072,5
21.929,42.5204,-149.2185,5
21.9614,42.5218,-149.2386,5
21.9855,42.5092,-149.2872,5
21.9714,42.5059,-149.3148,5
21.9895,42.5106,-149.3367,5
21.9871,42.5004,-149.3687,5
21.9776,42.4914,-149.4255,5
21.9329,42.4988,-149.4828,5
21.9571,42.5139,-149.4628,5
21.9814,42.5045,-149.4854,5
21.9568,42.5174,-149.5117,5
21.9635,42.5131,-149.535,5
21.9841,42.5027,-149.5403,5
21.9681,42.4995,-149.525,5
21.9579,42.4697,-149.5234,5
21.9383,42.4502,-149.5386,5
21.9706,42.4211,-149.5558,5
21.9697,42.4141,-149.5629,5
21.9599,42.399,-149.5878,5
21.9914,42.3948,-149.5836,5
21.9763,42.391,-149.5711,5
21.9611,42.3802,-149.5118,5
21.9303,42.3412,-149.4401,5
21.9498,42.2875,-149.3393,5
21.9651,42.2539,-149.2739,5
21.9563,42.2574,-149.2464,5
21.9335,42.2902,-149.2484,5
21.9203,42.3314,-149.2835,5
21.887,42.3704,-149.301,5
21.8785,42.4209,-149.3857,5
21.8624,42.4326,-149.4241,5
21.879,42.4527,-149.4727,5
21.9046,42.4938,-149.576,5
21.9601,42.5277,-149.6283,5
22.0739,42.5958,-149.6542,5
22.2524,42.7358,-149.6955,5
22.3723,42.828,-149.7079,5
22.4408,42.8686,-149.7433,5
22.4357,42.848,-149.7245,5
22.3675,42.806,-149.7351,5
22.2918,42.7732,-149.7119,5
22.1857,42.7135,-149.6917,5
22.0855,42.6647,-149.6443,5
22.0212,42.6272,-149.5947,5
22.0143,42.6084,-149.6114,5
22.0093,42.5874,-149.626,5
21.952,42.5581,-149.6519,5
21.9006,42.5451,-149.6435,5
21.8897,42.5067,-149.6432,5
21.8386,42.4575,-149.6374,5
21.8017,42.3952,-149.6237,5
21.7609,42.3488,-149.6449,5
21.7366,42.3067,-149.6487,5
21.7809,42.2846,-149.5838,5
21.7948,42.2648,-149.532,5
21.6905,42.2753,-149.6044,5
21.5895,42.2711,-149.681,5
21.5163,42.254,-149.6807,5
21.4522,42.2491,-149.6902,5
21.4317,42.2333,-149.6817,5
21.4224,42.2278,-149.6385,5
21.4098,42.217,-149.6128,5
21.4456,42.2246,-149.566,5
21.542,42.2358,-149.5024,5
21.5933,42.245,-149.4311,5
21.6481,42.2535,-149.4058,5
21.6604,42.2678,-149.37,5
21.6917,42.2824,-149.3438,5
21.7919,42.3199,-149.3382,5
21.8595,42.3555,-149.3055,5
21.8664,42.3679,-149.2657,5
21.9122,42.4281,-149.3086,5
21.95,42.4612,-149.3532,5
21.8899,42.5415,-149.4535,5
21.8265,42.5689,-149.5305,5
21.8158,42.5851,-149.6238,5
21.8686,42.6426,-149.6411,5
21.9793,42.7178,-149.6294,5
22.0585,42.7654,-149.5368,5
22.0991,42.7868,-149.4606,5
22.166,42.7653,-149.3292,5
22.2276,42.7349,-149.2267,5
22.3312,42.682,-149.1561,5
22.3986,42.6541,-149.1732,5
22.4627,42.6525,-149.2336,5
22.5007,42.6441,-149.3038,5
22.4252,42.6078,-149.3823,5
22.3674,42.5834,-149.4777,5
22.336,42.5523,-149.5218,5
22.3669,42.558,-149.5311,5
22.4245,42.5659,-149.5268,5
22.4041,42.57,-149.5916,5
22.4115,42.5625,-149.6546,5
22.4697,42.5995,-149.7062,5
22.5056,42.6335,-149.7548,5
22.5113,42.6364,-149.8136,5
22.545,42.6376,-149.8528,5
22.5076,42.6264,-149.8723,5
22.4836,42.6153,-149.8653,5
22.5118,42.5992,-149.8467,5
22.5102,42.5747,-149.8003,5
22.4797,42.5627,-149.7063,5
22.472,42.5483,-149.6588,5
22.4613,42.5492,-149.5816,5
22.4981,42.5377,-149.5359,5
22.5226,42.5107,-149.5044,5
22.5564,42.4811,-149.4856,5
22.5649,42.4522,-149.4631,5
22.5617,42.4732,-149.4577,5
22.6474,42.4831,-149.4553,5
22.7194,42.4635,-149.4417,5
22.7637,42.429,-149.4279,5
22.8075,42.3934,-149.3642,5
22.8518,42.3882,-149.2701,5
22.9132,42.3516,-149.2085,5
22.9974,42.3299,-149.1236,5
23.0595,42.3079,-149.0621,5
23.154,42.2934,-148.9679,5
23.225,42.2714,-148.8947,5
23.2137,42.2539,-148.8429,5
23.2238,42.2192,-148.83,5
23.2661,42.1828,-148.7956,5
23.2858,42.1564,-148.7773,5
23.2804,42.1073,-148.7526,5
23.2568,42.0682,-148.7266,5
23.2686,42.0127,-148.6722,5
23.2491,41.9765,-148.6639,5
23.2302,41.9329,-148.6812,5
23.2378,41.9041,-148.6803,5
23.2342,41.8548,-148.6772,5
23.2111,41.7948,-148.6512,5
23.1968,41.7599,-148.6391,5
23.1771,41.7002,-148.5912,5
23.1677,41.6506,-148.5467,5
23.1631,41.6044,-148.5224,5
23.151,41.5663,-148.4552,5
23.0813,41.5286,-148.3741,5
23.0568,41.5013,-148.3096,5
23.0115,41.4629,-148.2632,5
22.9962,41.4312,-148.2267,5
23.0014,41.424,-148.1659,5
22.9383,41.3912,-148.1727,5
22.8978,41.3715,-148.2236,5
22.86,41.3792,-148.2789,5
22.8102,41.3733,-148.3439,5
22.7747,41.3811,-148.398,5
22.765,41.4134,-148.455,4
22.7958,41.4487,-148.4612,4
22.8281,41.49,-148.5056,4
22.8902,41.4869,-148.4846,4
22.8427,41.4731,-148.5078,4
22.7747,41.4502,-148.5237,4
22.7738,41.4027,-148.5652,4
22.7912,41.3602,-148.567,4
22.7945,41.3302,-148.5815,4
22.7873,41.2927,-148.5807,4
22.7916,41.2703,-148.5459,4
22.7864,41.2499,-148.5203,4
22.7912,41.2423,-148.532,4
22.8107,41.2234,-148.5295,4
22.8214,41.2073,-148.5146,4
22.8027,41.1934,-148.4766,4
22.8044,41.1769,-148.4054,4
22.802,41.1537,-148.329,4
22.768,41.1459,-148.2416,4
22.7375,41.1461,-148.1739,4
22.7392,41.1613,-148.1625,4
22.7482,41.2074,-148.1915,4
22.8018,41.2519,-148.2147,4
22.8551,41.2816,-148.1838,4
22.915,41.3114,-148.1698,4
22.9569,41.3385,-148.1746,4
23.006,41.3601,-148.1176,4
23.0619,41.4035,-148.0893,4
23.127,41.4235,-148.0375,4
23.1961,41.4695,-147.9793,4
23.257,41.4986,-147.9192,4
23.334,41.5172,-147.8975,4
23.4222,41.5125,-147.8982,4
23.4141,41.5139,-147.8423,4
23.4015,41.5146,-147.7787,4
23.4128,41.518,-147.7117,4
23.404,41.5371,-147.6642,4
23.3944,41.5385,-147.5806,4
23.4124,41.5234,-147.4668,4
23.4444,41.5232,-147.3751,4
23.4731,41.5369,-147.2957,4
23.5053,41.5508,-147.2876,4
23.5449,41.5654,-147.2673,4
23.5491,41.5827,-147.2479,4
